date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2024-04-22,RELIANCE.NS,BUY,1475.0,1468.45,1481.55,6.55,1481.55,TARGET,67.7966,444.07,95.71,348.36,True
2024-04-22,TCS.NS,BUY,3842.0,3818.35,3865.65,23.65,3864.95,TIME,26.0281,597.34,95.75,501.59,True
2024-04-23,HDFCBANK.NS,SELL,755.5,760.95,750.05,5.45,754.67,TIME,132.3627,109.2,95.56,13.64,True
2024-04-24,INFY.NS,SELL,1435.0,1443.2,1426.8,8.2,1430.75,TIME,69.6864,296.17,95.52,200.65,True
2024-04-24,RELIANCE.NS,SELL,1457.5,1468.0,1447.0,10.5,1468.0,STOP,68.6106,-720.41,95.72,-816.13,False
2024-04-24,TCS.NS,SELL,3875.65,3894.2,3857.1,18.55,3857.1,TARGET,25.8021,478.63,95.49,383.14,True
2024-04-25,ICICIBANK.NS,BUY,1110.25,1092.6,1127.9,17.65,1112.6,TIME,90.0698,211.66,95.64,116.02,True
2024-04-25,INFY.NS,BUY,1437.0,1424.6,1449.4,12.4,1438.05,TIME,69.5894,73.07,95.6,-22.53,False
2024-04-25,NIFTY,BUY,22457.95,22308.3,22607.6,149.65,22607.6,TARGET,4.4528,666.36,95.77,570.58,True
2024-04-26,INFY.NS,SELL,1437.0,1445.4,1428.6,8.4,1428.6,TARGET,69.5894,584.55,95.47,489.09,True
2024-04-26,NIFTY,SELL,22517.8,22615.5,22420.1,97.7,22420.1,TARGET,4.4409,433.88,95.49,338.38,True
2024-04-29,ICICIBANK.NS,BUY,1132.9,1107.9,1157.9,25.0,1157.9,TARGET,88.269,2206.73,96.22,2110.5,True
2024-04-29,TCS.NS,BUY,3861.9,3819.5,3904.3,42.4,3870.7,TIME,25.894,227.87,95.64,132.22,True
2024-04-30,HDFCBANK.NS,BUY,766.85,761.5,772.2,5.35,761.5,STOP,130.4036,-697.66,95.37,-793.03,False
2024-04-30,INFY.NS,SELL,1429.75,1436.0,1423.5,6.25,1423.5,TARGET,69.9423,437.14,95.49,341.65,True
2024-04-30,TCS.NS,SELL,3857.8,3881.7,3833.9,23.9,3833.9,TARGET,25.9215,619.52,95.46,524.06,True
2024-05-02,TCS.NS,BUY,3849.9,3798.8,3901.0,51.1,3865.9,TIME,25.9747,415.59,95.7,319.89,True
2024-05-03,HDFCBANK.NS,SELL,763.62,769.78,757.47,6.15,757.47,TARGET,130.9552,805.37,95.42,709.95,True
2024-05-03,ICICIBANK.NS,SELL,1142.25,1157.35,1127.15,15.1,1142.5,TIME,87.5465,-21.89,95.58,-117.47,False
2024-05-03,NIFTY,SELL,22676.2,22794.15,22558.25,117.95,22558.25,TARGET,4.4099,520.15,95.48,424.67,True
2024-05-03,RELIANCE.NS,SELL,1459.25,1474.9,1443.6,15.65,1443.6,TARGET,68.5284,1072.47,95.37,977.1,True
2024-05-03,TCS.NS,SELL,3863.9,3893.6,3834.2,29.7,3834.2,TARGET,25.8806,768.65,95.43,673.22,True
2024-05-06,RELIANCE.NS,SELL,1426.03,1439.97,1412.08,13.95,1419.4,TIME,70.1248,464.93,95.49,369.44,True
2024-05-07,ICICIBANK.NS,SELL,1133.75,1152.7,1114.8,18.95,1133.05,TIME,88.2029,61.74,95.57,-33.83,False
2024-05-07,NIFTY,SELL,22376.4,22493.4,22259.4,117.0,22259.4,TARGET,4.469,522.87,95.48,427.39,True
2024-05-07,RELIANCE.NS,SELL,1408.2,1420.12,1396.27,11.93,1396.27,TARGET,71.0126,847.18,95.42,751.77,True
2024-05-08,HDFCBANK.NS,SELL,743.7,748.47,738.93,4.77,740.72,TIME,134.4628,400.03,95.5,304.53,True
2024-05-08,ICICIBANK.NS,SELL,1120.4,1132.0,1108.8,11.6,1124.65,TIME,89.2538,-379.33,95.65,-474.98,False
2024-05-08,NIFTY,BUY,22291.7,22185.7,22397.7,106.0,22185.7,STOP,4.486,-475.51,95.44,-570.95,False
2024-05-08,RELIANCE.NS,BUY,1414.0,1397.5,1430.5,16.5,1430.5,TARGET,70.7214,1166.9,95.92,1070.98,True
2024-05-09,NIFTY,SELL,22189.3,22307.5,22071.1,118.2,22071.1,TARGET,4.5067,532.69,95.48,437.21,True
2024-05-09,RELIANCE.NS,SELL,1403.8,1423.5,1384.1,19.7,1392.5,TIME,71.2352,804.96,95.42,709.53,True
2024-05-13,HDFCBANK.NS,BUY,719.83,715.25,724.4,4.58,724.4,TARGET,138.9217,634.87,95.76,539.11,True
2024-05-13,TCS.NS,BUY,3912.55,3870.1,3955.0,42.45,3947.15,TIME,25.5588,884.33,95.84,788.5,True
2024-05-14,RELIANCE.NS,BUY,1414.97,1406.45,1423.5,8.53,1423.5,TARGET,70.6729,602.84,95.75,507.09,True
2024-05-15,HDFCBANK.NS,SELL,724.0,727.95,720.05,3.95,720.05,TARGET,138.1215,545.58,95.47,450.11,True
2024-05-16,ICICIBANK.NS,SELL,1126.35,1136.5,1116.2,10.15,1116.2,TARGET,88.7824,901.14,95.41,805.74,True
2024-05-16,NIFTY,SELL,22217.15,22329.6,22104.7,112.45,22104.7,TARGET,4.501,506.14,95.48,410.66,True
2024-05-16,RELIANCE.NS,SELL,1415.7,1424.4,1407.0,8.7,1407.0,TARGET,70.6364,614.54,95.46,519.08,True
2024-05-16,TCS.NS,SELL,3881.45,3909.15,3853.75,27.7,3853.75,TARGET,25.7636,713.65,95.44,618.21,True
2024-05-17,RELIANCE.NS,BUY,1429.53,1413.25,1445.8,16.28,1437.0,TIME,69.9531,522.55,95.73,426.82,True
