date,ticker,signal,entry,stop_loss,target,range_size,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,win
2025-11-25,INFY.NS,SELL,1535.0,1546.2,1523.8,11.2,1530.6,TIME,65.1466,286.65,95.52,191.12,True
2025-11-25,TCS.NS,SELL,3131.0,3145.6,3116.4,14.6,3116.4,TARGET,31.9387,466.3,95.49,370.82,True
2025-11-26,INFY.NS,BUY,1547.4,1532.1,1562.7,15.3,1558.1,TIME,64.6245,691.48,95.78,595.7,True
2025-11-27,ICICIBANK.NS,BUY,1389.4,1375.8,1403.0,13.6,1391.9,TIME,71.9735,179.94,95.63,84.31,True
2025-11-27,RELIANCE.NS,SELL,1565.1,1575.0,1555.2,9.9,1565.2,TIME,63.8937,-6.39,95.58,-101.97,False
2025-12-01,NIFTY,SELL,26263.95,26319.9,26208.0,55.95,26208.0,TARGET,3.8075,213.03,95.54,117.49,True
2025-12-01,RELIANCE.NS,SELL,1570.0,1577.2,1562.8,7.2,1565.0,TIME,63.6943,318.47,95.52,222.95,True
2025-12-03,HDFCBANK.NS,BUY,992.8,987.8,997.8,5.0,997.8,TARGET,100.7252,503.63,95.73,407.9,True
2025-12-03,TCS.NS,BUY,3177.4,3141.9,3212.9,35.5,3182.3,TIME,31.4723,154.22,95.62,58.59,True
2025-12-04,RELIANCE.NS,BUY,1551.0,1536.5,1565.5,14.5,1539.8,TIME,64.4745,-722.11,95.37,-817.48,False
2025-12-05,INFY.NS,BUY,1615.0,1602.9,1627.1,12.1,1627.1,TARGET,61.9195,749.23,95.8,653.43,True
2025-12-05,TCS.NS,BUY,3248.3,3223.9,3272.7,24.4,3244.3,TIME,30.7853,-123.14,95.54,-218.68,False
2025-12-10,TCS.NS,SELL,3197.0,3218.0,3176.0,21.0,3187.2,TIME,31.2793,306.54,95.52,211.02,True
2025-12-11,HDFCBANK.NS,BUY,994.4,988.7,1000.1,5.7,1000.1,TARGET,100.5632,573.21,95.75,477.46,True
2025-12-11,NIFTY,BUY,25807.55,25693.3,25921.8,114.25,25895.45,TIME,3.8748,340.59,95.68,244.92,True
2025-12-12,RELIANCE.NS,BUY,1555.0,1548.3,1561.7,6.7,1548.3,STOP,64.3087,-430.87,95.45,-526.32,False
2025-12-15,TCS.NS,BUY,3217.5,3197.3,3237.7,20.2,3225.1,TIME,31.08,236.21,95.65,140.56,True
2025-12-24,RELIANCE.NS,SELL,1568.2,1573.9,1562.5,5.7,1562.5,TARGET,63.7674,363.47,95.51,267.97,True
