range_size_pct,orb_body_ratio,orb_upper_wick_ratio,orb_lower_wick_ratio,gap_pct,orb_volume,volume_ratio,day_of_week,signal_encoded,ticker_encoded,date,ticker,signal,label
1.0044,0.8569,0.1099,0.0332,-0.1631,0.0,0.0,3,0,0,2024-05-30,RELIANCE.NS,SELL,TIME
0.9042,0.6353,0.2779,0.0868,-0.4733,0.0,0.0,3,0,2,2024-05-30,TCS.NS,SELL,TARGET
1.3356,0.7713,0.1397,0.0891,-0.0775,1016231.0,2.876,4,0,2,2024-05-31,TCS.NS,SELL,TIME
1.3169,0.1053,0.0745,0.8203,3.1649,0.0,0.0,0,1,0,2024-06-03,RELIANCE.NS,BUY,TARGET
2.8783,0.0185,0.1592,0.8224,-1.9082,0.0,0.0,1,0,3,2024-06-04,HDFCBANK.NS,SELL,TARGET
3.2054,0.4333,0.3958,0.1708,-1.306,0.0,0.0,1,0,4,2024-06-04,ICICIBANK.NS,SELL,TARGET
1.7727,0.3377,0.4291,0.2332,-0.1473,0.0,0.0,2,1,3,2024-06-05,HDFCBANK.NS,BUY,STOP
1.1285,0.625,0.2531,0.1219,0.1498,0.0,0.0,2,1,1,2024-06-05,INFY.NS,BUY,TARGET
1.5904,0.5042,0.1187,0.3771,0.0107,0.0,0.0,2,1,2,2024-06-05,TCS.NS,BUY,TIME
0.9445,0.0676,0.3345,0.598,0.1219,0.0,0.0,4,1,3,2024-06-07,HDFCBANK.NS,BUY,TARGET
1.217,0.6801,0.1581,0.1618,-0.3873,0.0,0.0,4,1,4,2024-06-07,ICICIBANK.NS,BUY,TIME
2.8757,0.9703,0.0297,0.0,0.4789,0.0,0.0,4,1,1,2024-06-07,INFY.NS,BUY,TIME
1.141,0.8589,0.1411,0.0,-0.625,0.0,0.0,4,1,0,2024-06-07,RELIANCE.NS,BUY,TARGET
0.7418,0.6207,0.1293,0.25,-0.2853,0.0,0.0,1,1,3,2024-06-11,HDFCBANK.NS,BUY,TIME
0.7008,0.3857,0.4524,0.1619,0.5415,0.0,0.0,2,0,1,2024-06-12,INFY.NS,SELL,TARGET
0.9575,0.6004,0.2487,0.151,0.0584,0.0,0.0,2,1,0,2024-06-12,RELIANCE.NS,BUY,TIME
0.7857,0.0544,0.6656,0.2801,0.4604,0.0,0.0,2,0,2,2024-06-12,TCS.NS,SELL,TARGET
0.6818,0.1705,0.129,0.7005,0.3732,0.0,0.0,4,1,3,2024-06-14,HDFCBANK.NS,BUY,TIME
0.7343,0.058,0.1276,0.8144,0.1195,0.0,0.0,4,1,0,2024-06-14,RELIANCE.NS,BUY,TARGET
1.481,0.7578,0.1263,0.1159,0.0373,0.0,0.0,2,1,3,2024-06-19,HDFCBANK.NS,BUY,TARGET
0.861,0.9684,0.0316,0.0,0.3429,0.0,0.0,2,0,0,2024-06-19,RELIANCE.NS,SELL,TARGET
1.4706,0.3926,0.2171,0.3903,0.0343,0.0,0.0,3,1,0,2024-06-20,RELIANCE.NS,BUY,TIME
0.7087,0.7195,0.1585,0.122,0.6138,0.0,0.0,4,0,4,2024-06-21,ICICIBANK.NS,SELL,STOP
1.3041,0.197,0.212,0.591,2.4977,0.0,0.0,4,0,1,2024-06-21,INFY.NS,SELL,TIME
0.9384,0.8796,0.0,0.1204,0.0,0.0,0.0,4,0,0,2024-06-21,RELIANCE.NS,SELL,TARGET
0.4798,0.9623,0.0377,0.0,-1.1256,0.0,0.0,0,1,3,2024-06-24,HDFCBANK.NS,BUY,TARGET
0.9338,0.8608,0.0411,0.0981,0.3619,0.0,0.0,1,1,3,2024-06-25,HDFCBANK.NS,BUY,TARGET
0.7859,0.5351,0.0054,0.4595,0.1624,0.0,0.0,1,1,4,2024-06-25,ICICIBANK.NS,BUY,TARGET
0.5347,0.2742,0.7258,0.0,-0.1334,0.0,0.0,1,1,0,2024-06-25,RELIANCE.NS,BUY,TIME
1.5141,0.7742,0.0933,0.1326,-0.1583,0.0,0.0,2,1,0,2024-06-26,RELIANCE.NS,BUY,TARGET
1.2344,0.9439,0.0561,0.0,0.0991,0.0,0.0,3,1,4,2024-06-27,ICICIBANK.NS,BUY,TIME
0.9471,0.6962,0.0171,0.2867,-0.2758,0.0,0.0,3,1,1,2024-06-27,INFY.NS,BUY,TARGET
0.8672,0.0763,0.1213,0.8024,-0.284,0.0,0.0,3,1,2,2024-06-27,TCS.NS,BUY,TARGET
0.6334,0.7597,0.1948,0.0455,0.1639,0.0,0.0,4,0,4,2024-06-28,ICICIBANK.NS,SELL,TARGET
1.9257,0.4207,0.5793,0.0,0.3533,0.0,0.0,4,1,0,2024-06-28,RELIANCE.NS,BUY,TIME
0.9889,0.7381,0.2619,0.0,-0.1069,0.0,0.0,0,1,3,2024-07-01,HDFCBANK.NS,BUY,TIME
1.178,0.4543,0.3548,0.1909,-0.1787,0.0,0.0,0,1,1,2024-07-01,INFY.NS,BUY,TARGET
1.135,0.0127,0.8279,0.1594,0.0128,0.0,0.0,0,0,0,2024-07-01,RELIANCE.NS,SELL,TIME
1.5005,0.899,0.0901,0.0109,-0.1063,0.0,0.0,0,1,2,2024-07-01,TCS.NS,BUY,TIME
1.7638,0.9525,0.0,0.0475,0.5339,0.0,0.0,1,0,4,2024-07-02,ICICIBANK.NS,SELL,TIME
1.4839,0.9311,0.0689,0.0,0.2554,0.0,0.0,1,1,1,2024-07-02,INFY.NS,BUY,TIME
1.567,0.4331,0.3899,0.177,0.1295,0.0,0.0,2,0,0,2024-07-03,RELIANCE.NS,SELL,TIME
1.1793,0.7488,0.0,0.2512,-0.5429,7332585.0,3.1898,3,0,3,2024-07-04,HDFCBANK.NS,SELL,TIME
0.9945,0.7377,0.041,0.2213,1.3024,5168638.0,3.0108,3,1,4,2024-07-04,ICICIBANK.NS,BUY,TIME
1.0547,0.8304,0.1696,0.0,0.3667,621608.0,1.7592,3,1,2,2024-07-04,TCS.NS,BUY,TIME
1.7531,0.85,0.0,0.15,-2.5897,0.0,0.0,4,0,3,2024-07-05,HDFCBANK.NS,SELL,TIME
1.7048,0.6331,0.0745,0.2924,0.1932,0.0,0.0,4,1,0,2024-07-05,RELIANCE.NS,BUY,TIME
0.7027,0.3965,0.4023,0.2012,-0.4005,2708068.0,1.5775,1,1,4,2024-07-09,ICICIBANK.NS,BUY,TARGET
0.5752,0.7295,0.1612,0.1093,-0.1499,538344.0,0.3906,1,0,0,2024-07-09,RELIANCE.NS,SELL,TARGET
1.3793,0.8493,0.0667,0.084,0.4408,725881.0,0.5267,2,0,0,2024-07-10,RELIANCE.NS,SELL,TIME
1.1624,0.6978,0.2511,0.0511,0.1568,0.0,0.0,2,0,2,2024-07-10,TCS.NS,SELL,TARGET
0.7386,0.9412,0.0,0.0588,-0.353,0.0,0.0,3,0,3,2024-07-11,HDFCBANK.NS,SELL,STOP
1.2967,0.3043,0.6708,0.0248,0.2976,2959297.0,1.7238,3,0,4,2024-07-11,ICICIBANK.NS,SELL,TARGET
1.4762,0.1658,0.6649,0.1693,0.7283,857625.0,2.4271,3,0,2,2024-07-11,TCS.NS,SELL,TIME
1.1937,1.0,0.0,0.0,0.9594,3242597.0,3.1207,4,1,1,2024-07-12,INFY.NS,BUY,TARGET
0.8296,0.5991,0.1833,0.2176,2.4033,3195724.0,9.0441,4,1,2,2024-07-12,TCS.NS,BUY,TARGET
1.0027,0.6236,0.1685,0.2079,-0.0188,1151336.0,0.8354,1,0,0,2024-07-16,RELIANCE.NS,SELL,TIME
1.1135,0.9316,0.0684,0.0,-0.4436,2634691.0,1.5347,3,1,4,2024-07-18,ICICIBANK.NS,BUY,TIME
1.4524,0.3945,0.6055,0.0,-0.3505,2414723.0,2.3239,3,1,1,2024-07-18,INFY.NS,BUY,TIME
1.2735,0.8567,0.1433,0.0,-0.0875,0.0,0.0,3,1,2,2024-07-18,TCS.NS,BUY,TARGET
1.694,0.4342,0.0,0.5658,3.4024,16379627.0,15.7637,4,0,1,2024-07-19,INFY.NS,SELL,TIME
1.0852,0.7765,0.0779,0.1456,-0.2836,1901503.0,1.3797,4,0,0,2024-07-19,RELIANCE.NS,SELL,TIME
1.0265,0.4059,0.1747,0.4194,0.6622,0.0,0.0,0,1,1,2024-07-22,INFY.NS,BUY,TIME
1.4347,0.8845,0.0,0.1155,-1.7854,0.0,0.0,0,0,0,2024-07-22,RELIANCE.NS,SELL,TIME
1.229,0.599,0.1228,0.2782,-0.0213,3760850.0,1.636,1,0,3,2024-07-23,HDFCBANK.NS,SELL,TIME
